callsign	entity	grid	year	qsos	start_ts	end_ts
TT8RR, TT8XX, TT8TT	Chad	JK72	2024	83575	2024-04-17 15:19:00	2024-04-30 10:58:00
3G0YA	Easter Island	DG52	2024	140060	2024-04-18 22:18:00	2024-05-06 21:18:00
A52P, A52CI	Bhutan	NL47	2024	57967	2024-04-19 06:17:00	2024-05-06 11:21:00
3D2CCC	Conway Reef	RG78	2024	117945	2024-04-28 11:31:00	2024-05-06 21:42:00
FT4GL	Glorioso Island	LH38	2024	61013	2024-05-24 14:37:00	2024-06-19 01:52:00
5U5K	Niger	JK13	2024	41186	2024-06-08 01:06:00	2024-06-23 10:33:00
K8K	American Samoa	AH45	2024	31195	2024-06-29 03:43:00	2024-07-10 05:58:00
N5J	Palmyra & Jarvis Islands	AJ85	2024	106885	2024-08-07 06:36:00	2024-08-20 22:59:00
CY9C (2024)	Saint Paul Island	FN97	2024	113436	2024-08-26 01:04:00	2024-09-05 15:25:00
KH8T	American Samoa	AH45	2024	43068	2024-09-04 07:12:00	2024-09-16 18:19:00
5H1WX	Tanzania	KI93	2024	41336	2024-09-19 01:15:00	2024-10-06 08:10:00
3D22, 3D2V	Rotuma	RH87	2024	119221	2024-10-02 06:01:00	2024-10-15 09:22:00
PX0FF	Fernando de Noronha	HI36	2024	159089	2024-10-05 19:06:00	2024-10-21 21:47:00
C21MM	Nauru	RI39	2024	95628	2024-10-10 13:23:00	2024-10-29 03:13:00
5R8CI, 5R8WE	Madagascar	LH31	2024	33695	2024-10-23 23:12:00	2024-11-07 05:00:00
3DA0DL	Kingdom of Eswatini	KG53	2024	49192	2024-10-26 15:57:00	2024-11-09 10:09:00
XT2MD	Burkina Faso	IK92	2024	77111	2024-11-01 03:30:00	2024-11-11 12:20:00
VK9CV	Cocos (Keeling) Island	NH87	2024	105789	2024-11-01 18:40:00	2024-11-15 06:30:00
V55LA	Namibia	JG87	2024	35374	2024-11-02 03:18:00	2024-11-10 18:42:00
E51SGC	South Cook Islands	BG08	2024	48111	2024-11-07 14:46:00	2024-11-24 13:03:00
S9Z	Sao Tome & Principe	JJ30	2024	52223	2024-11-10 23:00:00	2024-11-20 14:05:00
3D2Y	Rotuma	RH87	2024	32931	2024-11-15 10:49:00	2024-12-02 17:02:00
A35GC (2024)	Tonga	AG28	2024	30461	2024-11-25 12:15:00	2024-12-06 20:17:00
VU4A	Andaman & Nicobar Islands	NK61	2024	30972	2024-11-27 22:44:00	2024-12-10 08:23:00
9L5A	Sierra Leone	IJ38	2024	103406	2024-11-29 04:35:00	2024-12-08 00:00:00
T32TTT	Eastern Kiribati	BJ11	2024	95880	2024-12-18 02:14:00	2025-01-01 17:25:00
TX7N	Marquesas Islands	BI91	2025	40430	2025-01-13 07:08:00	2025-01-27 19:07:00
V73WW	Marshall Islands	RJ57	2025	103843	2025-02-12 04:53:00	2025-02-25 16:38:00
4S7SPG	Sri Lanka	MJ96	2025	43021	2025-02-16 00:24:00	2025-03-01 19:41:00
5N9DTG	Nigeria	JJ16	2025	126993	2025-02-17 17:10:00	2025-03-01 16:37:00
VK9XU	Christmas Island	OH29	2025	58267	2025-02-18 18:51:00	2025-03-04 06:01:00
D68Z	Comoros	LH27	2025	74881	2025-03-01 20:40:00	2025-04-02 10:34:00
VK9CU	Cocos (Keeling) Island	NH87	2025	34754	2025-03-04 20:50:00	2025-03-11 11:08:00
VU4AX	Andaman & Nicobar Islands	NK61	2025	65429	2025-03-11 21:49:00	2025-03-20 14:30:00
6Y7EI	Jamaica	FK18	2025	101591	2025-03-13 21:39:00	2025-03-24 21:17:00
FJ/SP9FIH, TO1P	Saint Barthélemy	FK87	2025	42618	2025-03-20 08:23:00	2025-04-05 16:28:00
3B9DJ	Rodrigues Island	MH10	2025	79015	2025-03-24 22:23:00	2025-04-05 10:53:00
VP2VI	British Virgin Islands	FK78	2025	173475	2025-04-10 06:01:00	2025-04-27 10:54:00
HD8G	Galapagos Islands	EI49	2025	50979	2025-04-19 06:55:00	2025-04-27 04:23:00
TX9A	Austral Islands	BG56	2025	72460	2025-04-26 05:48:00	2025-05-07 10:09:00
ZS8W	Prince Edward & Marion Islands	KE83	2025	31672	2025-04-27 18:52:00	2025-05-13 15:42:00
Z68TT, Z68ZZ	Republic of Kosovo	KN02	2025	61010	2025-05-06 23:47:00	2025-05-17 11:46:00
PJ7K	Sint Maarten	FK88	2025	93063	2025-09-12 23:08:00	2025-09-23 16:40:00
E44OM	Palestine	KM71	2025	53448	2025-09-13 23:03:00	2025-09-22 21:21:00
FP5KE	Saint Pierre & Miquelon	GN16	2025	131476	2025-09-16 23:44:00	2025-09-26 15:29:00
V6D	Micronesia	QJ96	2025	93694	2025-09-22 14:21:00	2025-10-06 21:25:00
PJ6Y	Saba & St Eustatius	FK87	2025	55369	2025-09-30 22:57:00	2025-10-28 17:51:00
E6AD	Niue	AH50	2025	92531	2025-10-07 11:39:00	2025-10-21 00:09:00
5K0UA	San Andres Island	EK92	2025	77340	2025-10-17 02:47:00	2025-11-04 02:18:00
FW5K	Wallis & Futuna Islands	AH16	2025	37808	2025-10-18 10:53:00	2025-10-31 12:29:00
6O3T	Somalia	LJ22	2025	75023	2025-10-21 01:50:00	2025-11-04 14:22:00
TL8GD	Central African Republic	JJ94	2025	42244	2025-10-24 14:36:00	2025-12-07 06:22:00
5R8TT, 5R8XX	Madagascar	LH31	2025	56762	2025-10-29 16:00:00	2025-11-12 08:34:00
9L8MD	Sierra Leone	IJ38	2025	101904	2025-10-29 18:00:00	2025-11-10 19:40:00
9U1RU	Burundi	KI46	2025	179814	2025-10-31 04:15:00	2025-11-20 23:39:00
ZL7/LZ1GC	Chatham Island	AE16	2025	34317	2025-11-03 07:03:00	2025-11-20 14:29:00
5V7RU (2025)	Togo	JJ06	2025	31244	2025-11-06 21:32:00	2025-11-19 18:30:00
